,Statistic,Year,UNIT,VALUE,County_name,per_10k,per_10k_vehicles,per_1b_km_travelled,avg_per_1k_km_travelled
127,Persons Killed,2005,Number,10.0,Cavan,1.6101503880462433,2.567372123473483,13.30671989354624,0.5184122760026957
128,Persons Killed,2005,Number,27.0,Donegal,1.8677107400284998,3.272965306567751,17.43622860833064,1.437967672356403
129,Persons Killed,2005,Number,11.0,Monaghan,1.998001998001998,3.3634857943687093,16.9971671388102,0.5558081956444848
130,Persons Killed,2006,Number,7.0,Carlow,1.3902957357643646,2.008348993673701,11.11111111111111,0.38743957787535516
131,Persons Killed,2006,Number,34.0,Dublin,0.2863939297964245,0.5654808846671244,3.778197577508612,2.2719932285692006
132,Persons Killed,2006,Number,23.0,Kildare,1.2343360077280168,2.075628065499602,11.559725247110068,1.280944557377962
133,Persons Killed,2006,Number,4.0,Kilkenny,0.45684003746088303,0.7274490785645006,4.030903594222371,0.22171310324440174
134,Persons Killed,2006,Number,8.0,Laois,1.1938160329493226,1.9880139326643116,10.34928848641656,0.4164678321981693
135,Persons Killed,2006,Number,6.0,Longford,1.7461657111259858,2.877743848822523,14.693877551020408,0.30636212002587054
136,Persons Killed,2006,Number,14.0,Louth,1.2624668602449185,2.5017050311075106,13.9234211834908,0.7793509120261267
137,Persons Killed,2006,Number,22.0,Meath,1.351094079137265,2.244951410407731,11.995637949836423,1.1760094080752648
138,Persons Killed,2006,Number,9.0,Offaly,1.2747153135799671,2.186013561380427,11.754462342185459,0.48410087227805315
139,Persons Killed,2006,Number,18.0,Westmeath,2.26691686712089,3.7410630161281384,19.78746793697325,0.9518269790069271
140,Persons Killed,2006,Number,20.0,Wexford,1.5180380875756174,2.2885346322038775,12.470123662059649,1.0903540015991857
141,Persons Killed,2006,Number,11.0,Wicklow,0.8716737721286274,1.4354160640456548,8.490930142802007,0.6508939930374067
142,Persons Killed,2006,Number,9.0,Clare,0.8111762054979721,1.307993779762914,7.167507300238916,0.49312816766357703
143,Persons Killed,2006,Number,33.0,Cork,0.6856501729708391,1.0949001981879956,6.440490518166738,1.9410622904535026
144,Persons Killed,2006,Number,21.0,Kerry,1.5017699431472806,2.389010551463269,13.715032110591052,1.2059955205880664
145,Persons Killed,2006,Number,16.0,Limerick,0.8693053706772432,1.5056532574651385,8.430666549574076,0.8962581223392337
146,Persons Killed,2006,Number,26.0,Tipperary,1.7444981213097155,2.6974592009295857,14.573991031390134,0.7020196565503835
147,Persons Killed,2006,Number,8.0,Waterford,0.7410083270810756,1.2235035022787752,7.326007326007326,0.479171034110988
148,Persons Killed,2006,Number,19.0,Galway,0.8201320844304398,1.4257627830889528,7.717303005686434,1.028537401770167
149,Persons Killed,2006,Number,3.0,Leitrim,1.0403301314283733,1.6505887099732237,8.61656294877932,0.15657756243530302
150,Persons Killed,2006,Number,11.0,Mayo,0.8896221532091096,1.4108261669776898,7.494889847831024,0.5846243788365975
151,Persons Killed,2006,Number,5.0,Roscommon,0.8517887563884157,1.321981915287399,6.705409029950827,0.25354540998292796
152,Persons Killed,2006,Number,4.0,Sligo,0.6572137423393523,1.1038949092046435,6.1412487205731825,0.2225519287833828
153,Persons Killed,2006,Number,7.0,Cavan,1.0936987328718966,1.7971604864314383,9.314703925482368,0.362888593201887
154,Persons Killed,2006,Number,19.0,Donegal,1.2929039984757342,2.303197808325454,12.269938650306749,1.0119031768433948
155,Persons Killed,2006,Number,8.0,Monaghan,1.4332807797047442,2.4461714868136064,12.361576100952872,0.40422414228689807
156,Persons Killed,2007,Number,3.0,Carlow,0.5859260561317161,0.8607209972887289,4.761904761904763,0.16604553337515224
157,Persons Killed,2007,Number,35.0,Dublin,0.29073123890548824,0.5821126753926281,3.88932103567063,2.3388165588212364
158,Persons Killed,2007,Number,13.0,Kildare,0.6801653324962068,1.1731810804997753,6.53375774836656,0.7240121411266742
159,Persons Killed,2007,Number,12.0,Kilkenny,1.3463480309660047,2.1823472356935016,12.092710782667115,0.6651393097332052
160,Persons Killed,2007,Number,5.0,Laois,0.7171440455529898,1.2425087079151946,6.468305304010349,0.2602923951238558
161,Persons Killed,2007,Number,6.0,Longford,1.7002947177510768,2.877743848822523,14.693877551020408,0.30636212002587054
162,Persons Killed,2007,Number,16.0,Louth,1.412254841386128,2.859091464122869,15.912481352560913,0.8906867566012877
163,Persons Killed,2007,Number,14.0,Meath,0.8378667911497328,1.4286054429867379,7.633587786259541,0.748369623320623
164,Persons Killed,2007,Number,5.0,Offaly,0.6961849067112225,1.2144519785446817,6.5302568567697,0.26894492904336287
165,Persons Killed,2007,Number,14.0,Westmeath,1.7336387839762244,2.9097156792107746,15.390252839868085,0.7403098725609434
166,Persons Killed,2007,Number,17.0,Wexford,1.2642883172322497,1.9452544373732963,10.599605112750703,0.9268009013593079
167,Persons Killed,2007,Number,9.0,Wicklow,0.7015738640349851,1.1744313251282632,6.947124662292551,0.5325496306669691
168,Persons Killed,2007,Number,12.0,Clare,1.0695282489148745,1.743991706350552,9.556676400318556,0.6575042235514361
169,Persons Killed,2007,Number,31.0,Cork,0.6666724014830235,1.028542610419026,6.050157759489966,1.823422151638139
170,Persons Killed,2007,Number,14.0,Kerry,0.9931331933488451,1.5926737009755125,9.143354740394035,0.8039970137253776
171,Persons Killed,2007,Number,16.0,Limerick,0.8620457423022009,1.5056532574651385,8.430666549574076,0.8962581223392337
172,Persons Killed,2007,Number,18.0,Tipperary,1.1921950961041714,1.8674717544897135,10.089686098654708,0.48601360838103463
173,Persons Killed,2007,Number,6.0,Waterford,0.5498181018446398,0.9176276267090815,5.4945054945054945,0.359378275583241
174,Persons Killed,2007,Number,24.0,Galway,1.0193506736209035,1.8009635154807822,9.74817221770918,1.2992051390781056
175,Persons Killed,2007,Number,7.0,Leitrim,2.378686964795433,3.851373656604189,20.10531354715175,0.36534764568237377
176,Persons Killed,2007,Number,9.0,Mayo,0.7197351374694113,1.1543123184362916,6.132182602770838,0.4783290372299434
177,Persons Killed,2007,Number,7.0,Roscommon,1.1710973181871414,1.8507746814023585,9.387572641931158,0.3549635739760991
178,Persons Killed,2007,Number,7.0,Sligo,1.1332545451601936,1.9318160911081264,10.74718526100307,0.3894658753709199
179,Persons Killed,2007,Number,10.0,Cavan,1.5188566047479457,2.567372123473483,13.30671989354624,0.5184122760026957
180,Persons Killed,2007,Number,22.0,Donegal,1.4687032685323649,2.666860620166315,14.207297384565708,1.1716773626607728
181,Persons Killed,2007,Number,6.0,Monaghan,1.0572873530811115,1.834628615110205,9.271182075714654,0.3031681067151736
182,Persons Killed,2008,Number,1.0,Carlow,0.19210819533561302,0.28690699909624295,1.5873015873015872,0.05534851112505074
183,Persons Killed,2008,Number,22.0,Dublin,0.18024720084290144,0.3658993959610805,2.444716079564396,1.4701132655447773
184,Persons Killed,2008,Number,13.0,Kildare,0.6635192037769554,1.1731810804997753,6.53375774836656,0.7240121411266742
185,Persons Killed,2008,Number,5.0,Kilkenny,0.5512557606226985,0.9093113482056256,5.0386294927779645,0.27714137905550223
186,Persons Killed,2008,Number,12.0,Laois,1.6567720557779926,2.982020898996467,15.523932729624839,0.6247017482972539
187,Persons Killed,2008,Number,3.0,Longford,0.828363154406892,1.4388719244112615,7.346938775510204,0.15318106001293527
188,Persons Killed,2008,Number,7.0,Louth,0.6050391114568477,1.2508525155537553,6.9617105917454,0.38967545601306336
189,Persons Killed,2008,Number,9.0,Meath,0.5252346047901396,0.9183892133486171,4.907306434023991,0.4810947578489719
190,Persons Killed,2008,Number,8.0,Offaly,1.0953352410422115,1.9431231656714907,10.44841097083152,0.4303118864693806
191,Persons Killed,2008,Number,3.0,Westmeath,0.36537688625817527,0.623510502688023,3.2979113228288752,0.15863782983448788
192,Persons Killed,2008,Number,16.0,Wexford,1.1663762875700736,1.8308277057631022,9.97609892964772,0.8722832012793487
193,Persons Killed,2008,Number,4.0,Wicklow,0.3068143466388488,0.5219694778347836,3.0876109610189117,0.23668872474087518
194,Persons Killed,2008,Number,7.0,Clare,0.6170227769550807,1.0173284953711552,5.574727900185824,0.3835441304050044
195,Persons Killed,2008,Number,24.0,Cork,0.5348821142107034,0.796291053227633,4.683993104121264,1.4116816657843656
196,Persons Killed,2008,Number,19.0,Kerry,1.3370771493515177,2.1614857370381957,12.408838576249046,1.091138804341584
197,Persons Killed,2008,Number,18.0,Limerick,0.961764517301075,1.6938599146482807,9.484499868270836,1.008290387631638
198,Persons Killed,2008,Number,21.0,Tipperary,1.3732221677292789,2.1787170469046657,11.771300448430493,0.5670158764445404
199,Persons Killed,2008,Number,7.0,Waterford,0.6346673436451665,1.0705655644939285,6.41025641025641,0.4192746548471145
200,Persons Killed,2008,Number,24.0,Galway,1.0032689847753933,1.8009635154807822,9.74817221770918,1.2992051390781056
201,Persons Killed,2008,Number,5.0,Leitrim,1.665556295802798,2.7509811832887068,14.360938247965533,0.26096260405883837
202,Persons Killed,2008,Number,10.0,Mayo,0.7908639397678023,1.2825692427069906,6.813536225300931,0.5314767080332705
203,Persons Killed,2008,Number,3.0,Roscommon,0.49304802287742827,0.7931891491724393,4.023245417970497,0.15212724598975677
204,Persons Killed,2008,Number,7.0,Sligo,1.1168727562824092,1.9318160911081264,10.74718526100307,0.3894658753709199
205,Persons Killed,2008,Number,8.0,Cavan,1.1821204285186553,2.0538976987787865,10.645375914836993,0.4147298208021566
206,Persons Killed,2008,Number,18.0,Donegal,1.1793379982703043,2.181976871045167,11.624152405553762,0.9586451149042686
207,Persons Killed,2008,Number,5.0,Monaghan,0.8668215387815956,1.5288571792585042,7.7259850630955444,0.2526400889293113
208,Persons Killed,2009,Number,3.0,Carlow,0.5670434355271614,0.8607209972887289,4.761904761904763,0.16604553337515224
209,Persons Killed,2009,Number,31.0,Dublin,0.2505593130471892,0.5155855124906135,3.444827203022558,2.071523237813095
210,Persons Killed,2009,Number,10.0,Kildare,0.49820397467130995,0.9024469849998271,5.0259674987435075,0.5569324162512879
211,Persons Killed,2009,Number,5.0,Kilkenny,0.541864447189891,0.9093113482056256,5.0386294927779645,0.27714137905550223
212,Persons Killed,2009,Number,5.0,Laois,0.6654245408570668,1.2425087079151946,6.468305304010349,0.2602923951238558
213,Persons Killed,2009,Number,2.0,Longford,0.5384449709239716,0.9592479496075076,4.89795918367347,0.10212070667529019
214,Persons Killed,2009,Number,5.0,Louth,0.4233879503789322,0.8934660825383967,4.972650422675286,0.2783396114379024
215,Persons Killed,2009,Number,12.0,Meath,0.683320710881313,1.2245189511314896,6.543075245365322,0.6414596771319625
216,Persons Killed,2009,Number,4.0,Offaly,0.5386987731135443,0.9715615828357453,5.22420548541576,0.2151559432346903
217,Persons Killed,2009,Number,4.0,Westmeath,0.47927724990714005,0.8313473369173642,4.397215097105168,0.21151710644598382
